('batch_size', 64)
('input_channels', 4)
('image_size', 256)
('output_channels', 8)
('kernel_size', 1)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       538.474us       2313.024us                1        538.474us       2313.024us
_th_get_device                12.989us         12.928us                1         12.989us         12.928us
convolution                  492.680us       2271.104us                1        492.680us       2271.104us
_th_get_device                 5.205us          5.280us                1          5.205us          5.280us
_convolution                 461.986us       2245.216us                1        461.986us       2245.216us
_th_get_device                 5.231us          5.088us                1          5.231us          5.088us
tensor                        27.081us         24.672us                1         27.081us         24.672us
cudnn_convolution            367.167us       2158.400us                1        367.167us       2158.400us
sum                         2159.190us        416.000us                1       2159.190us        416.000us
_th_get_device                 5.609us          1.568us                1          5.609us          1.568us
_sum                        2123.880us        404.992us                1       2123.880us        404.992us
