('batch_size', 4)
('input_channels', 4)
('image_size', 256)
('output_channels', 20)
('kernel_size', 3)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       553.801us        753.632us                1        553.801us        753.632us
_th_get_device                13.916us         13.824us                1         13.916us         13.824us
convolution                  507.409us        712.032us                1        507.409us        712.032us
_th_get_device                 5.813us          5.696us                1          5.813us          5.696us
_convolution                 477.065us        686.304us                1        477.065us        686.304us
_th_get_device                 5.843us          5.920us                1          5.843us          5.920us
tensor                        23.262us         21.312us                1         23.262us         21.312us
cudnn_convolution            379.063us        597.056us                1        379.063us        597.056us
sum                          339.747us        168.384us                1        339.747us        168.384us
_th_get_device                 6.382us          1.536us                1          6.382us          1.536us
_sum                         305.755us        156.992us                1        305.755us        156.992us
