('batch_size', 48)
('input_channels', 12)
('image_size', 256)
('output_channels', 8)
('kernel_size', 3)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       434.735us       4891.008us                1        434.735us       4891.008us
_th_get_device                10.201us          9.792us                1         10.201us          9.792us
convolution                  400.143us       4858.144us                1        400.143us       4858.144us
_th_get_device                 3.365us          3.200us                1          3.365us          3.200us
_convolution                 373.175us       4833.344us                1        373.175us       4833.344us
_th_get_device                 3.296us          2.976us                1          3.296us          2.976us
tensor                        24.947us         23.552us                1         24.947us         23.552us
cudnn_convolution            301.749us       4766.560us                1        301.749us       4766.560us
sum                         4748.320us        316.576us                1       4748.320us        316.576us
_th_get_device                 3.689us          1.792us                1          3.689us          1.792us
_sum                        4721.135us        307.904us                1       4721.135us        307.904us
