('batch_size', 32)
('input_channels', 8)
('image_size', 256)
('output_channels', 24)
('kernel_size', 5)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       582.852us       6042.592us                1        582.852us       6042.592us
_th_get_device                11.381us         11.104us                1         11.381us         11.104us
convolution                  538.377us       6002.464us                1        538.377us       6002.464us
_th_get_device                 5.483us          5.408us                1          5.483us          5.408us
_convolution                 505.342us       5973.600us                1        505.342us       5973.600us
_th_get_device                 5.545us          5.088us                1          5.545us          5.088us
tensor                        31.232us         29.056us                1         31.232us         29.056us
cudnn_convolution            400.808us       5877.024us                1        400.808us       5877.024us
sum                         6007.653us        581.536us                1       6007.653us        581.536us
_th_get_device                 6.014us          1.568us                1          6.014us          1.568us
_sum                        5970.956us        570.208us                1       5970.956us        570.208us
