('batch_size', 64)
('input_channels', 4)
('image_size', 256)
('output_channels', 12)
('kernel_size', 5)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                      2852.280us       8783.456us                1       2852.280us       8783.456us
_th_get_device              2507.013us       2514.400us                1       2507.013us       2514.400us
convolution                  315.570us       6248.672us                1        315.570us       6248.672us
_th_get_device                 5.326us          5.120us                1          5.326us          5.120us
_convolution                 291.141us       6226.592us                1        291.141us       6226.592us
_th_get_device                 3.437us          3.328us                1          3.437us          3.328us
tensor                        18.762us         15.328us                1         18.762us         15.328us
cudnn_convolution            225.255us       6164.608us                1        225.255us       6164.608us
sum                         6444.754us        543.808us                1       6444.754us        543.808us
_th_get_device                 3.412us          1.599us                1          3.412us          1.599us
_sum                        6423.280us        534.880us                1       6423.280us        534.880us
