('batch_size', 48)
('input_channels', 4)
('image_size', 256)
('output_channels', 16)
('kernel_size', 5)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       487.158us       5235.520us                1        487.158us       5235.520us
_th_get_device                10.863us         11.168us                1         10.863us         11.168us
convolution                  448.898us       5201.024us                1        448.898us       5201.024us
_th_get_device                 5.163us          4.992us                1          5.163us          4.992us
_convolution                 419.688us       5175.264us                1        419.688us       5175.264us
_th_get_device                 7.809us          4.960us                1          7.809us          4.960us
tensor                        24.110us         22.016us                1         24.110us         22.016us
cudnn_convolution            332.951us       5095.552us                1        332.951us       5095.552us
sum                         5283.816us        561.472us                1       5283.816us        561.472us
_th_get_device                 5.422us          1.600us                1          5.422us          1.600us
_sum                        5253.805us        551.328us                1       5253.805us        551.328us
