,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
69,MobilenetV1/Conv2d_13_pointwise/weights/read/_813,0.0,0.0,0.0,0.012,0.0,0.012,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_13_pointwise/weights/read/_813,"        1|1
"
70,MobilenetV1/Conv2d_9_pointwise/weights/read/_693,0.0,0.0,0.0,0.012,0.0,0.012,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_9_pointwise/weights/read/_693,"        1|1
"
71,_retval_train_op_0_1,0.0,0.0,0.0,0.012,0.0,0.012,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|_retval_train_op_0_1,"        1|1
"
72,MobilenetV1/MobilenetV1/Conv2d_5_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_361,0.0,0.0,0.0,0.012,0.0,0.012,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_5_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_361,"        1|1
"
73,MobilenetV1/Conv2d_7_pointwise/weights/read/_633,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_7_pointwise/weights/read/_633,"        1|1
"
74,MobilenetV1/MobilenetV1/Conv2d_1_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_345,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_1_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_345,"        1|1
"
75,MobilenetV1/MobilenetV1/Conv2d_11_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_385,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_11_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_385,"        1|1
"
76,MobilenetV1/Conv2d_3_pointwise/weights/read/_513,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_3_pointwise/weights/read/_513,"        1|1
"
77,MobilenetV1/Conv2d_8_pointwise/weights/read/_663,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_8_pointwise/weights/read/_663,"        1|1
"
78,MobilenetV1/MobilenetV1/Conv2d_2_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_349,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_2_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_349,"        1|1
"
79,_retval_train_step/GreaterEqual_0_0,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|_retval_train_step/GreaterEqual_0_0,"        1|1
"
80,ConstantFolding/gradients/MobilenetV1/Logits/Dropout_1b/dropout/div_grad/RealDiv_recip,0.25,0.25,0.25,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/Logits/Dropout_1b/dropout/div_grad/RealDiv_recip,"        1|1
"
81,Pow,0.0,0.0,0.00390625,0.011,0.0,0.011,0,1e-06, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|Pow,"        1|1
"
82,gradients/MobilenetV1/Logits/AvgPool_1a/AvgPool_grad/AvgPoolGrad-1-TransposeNHWCToNCHW-LayoutOptimizer,0.0,0.0,16.38,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/Logits/AvgPool_1a/AvgPool_grad/AvgPoolGrad-1-TransposeNHWCToNCHW-LayoutOptimizer,"        1|1
"
83,MobilenetV1/MobilenetV1/Conv2d_8_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_373,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_8_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_373,"        1|1
"
84,MobilenetV1/MobilenetV1/Conv2d_4_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_357,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_4_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_357,"        1|1
"
85,MobilenetV1/MobilenetV1/Conv2d_3_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_353,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_3_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_353,"        1|1
"
86,MobilenetV1/Conv2d_10_pointwise/weights/read/_723,0.0,0.0,0.0,0.011,0.0,0.011,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_10_pointwise/weights/read/_723,"        1|1
"
87,MobilenetV1/MobilenetV1/Conv2d_7_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_366,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/MobilenetV1/Conv2d_7_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_366,"        1|1
"
88,MobilenetV1/MobilenetV1/Conv2d_9_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_377,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_9_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_377,"        1|1
"
89,MobilenetV1/MobilenetV1/Conv2d_0/kernel/Regularizer/l2_regularizer/L2Loss/_341,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_0/kernel/Regularizer/l2_regularizer/L2Loss/_341,"        1|1
"
90,MobilenetV1/MobilenetV1/Conv2d_5_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_358,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/MobilenetV1/Conv2d_5_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_358,"        1|1
"
91,fifo_queue_Dequeue/_332,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|fifo_queue_Dequeue/_332,"        1|1
"
92,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_2_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_2_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
93,MobilenetV1/Conv2d_5_pointwise/weights/read/_573,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_5_pointwise/weights/read/_573,"        1|1
"
94,ConstantFolding/gradients/MobilenetV1/Logits/Conv2d_1c_1x1/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/Logits/Conv2d_1c_1x1/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
95,MobilenetV1/Conv2d_6_pointwise/weights/read/_603,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_6_pointwise/weights/read/_603,"        1|1
"
96,MobilenetV1/MobilenetV1/Conv2d_8_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_370,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/MobilenetV1/Conv2d_8_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_370,"        1|1
"
97,_retval_train_step/Equal_0_0,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|_retval_train_step/Equal_0_0,"        1|1
"
98,gradients/MobilenetV1/MobilenetV1/Conv2d_10_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_10_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
99,group_deps/_1028,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|group_deps/_1028,"        1|1
"
100,MobilenetV1/Conv2d_0/weights/read/_331,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_0/weights/read/_331,"        1|1
"
101,gradients/MobilenetV1/MobilenetV1/Conv2d_13_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_13_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
102,MobilenetV1/Conv2d_2_pointwise/weights/read/_483,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_2_pointwise/weights/read/_483,"        1|1
"
103,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_4_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_4_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
104,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_5_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_5_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
105,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_8_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_8_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
106,MobilenetV1/Conv2d_1_pointwise/weights/read/_453,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_1_pointwise/weights/read/_453,"        1|1
"
107,gradients/MobilenetV1/MobilenetV1/Conv2d_11_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_11_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
108,gradients/MobilenetV1/MobilenetV1/Conv2d_12_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_12_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
109,MobilenetV1/MobilenetV1/Conv2d_4_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_354,0.0,0.0,0.0,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/MobilenetV1/Conv2d_4_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_354,"        1|1
"
110,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_9_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_9_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
111,gradients/MobilenetV1/MobilenetV1/Conv2d_2_depthwise/depthwise_grad/DepthwiseConv2dNativeBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_2_depthwise/depthwise_grad/DepthwiseConv2dNativeBackpropInput-0-LayoutOptimizer,"        1|1
"
112,MobilenetV1/MobilenetV1/Conv2d_10_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_378,0.0,0.0,0.0,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/MobilenetV1/Conv2d_10_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_378,"        1|1
"
113,gradients/MobilenetV1/MobilenetV1/Conv2d_5_depthwise/depthwise_grad/DepthwiseConv2dNativeBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_5_depthwise/depthwise_grad/DepthwiseConv2dNativeBackpropInput-0-LayoutOptimizer,"        1|1
"
114,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_3_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.008,0.0,0.008,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_3_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
