,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
130,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_11_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_11_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
131,MobilenetV1/MobilenetV1/Conv2d_2_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_346,0.0,0.0,0.0,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/MobilenetV1/Conv2d_2_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_346,"        1|1
"
132,gradients/MobilenetV1/MobilenetV1/Conv2d_7_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_7_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
133,gradients/MobilenetV1/MobilenetV1/Conv2d_3_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_3_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
134,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_10_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_10_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
135,gradients/MobilenetV1/MobilenetV1/Conv2d_8_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_8_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
136,gradients/MobilenetV1/Logits/Dropout_1b/dropout/div_grad/Sum-1-LayoutOptimizer,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/Logits/Dropout_1b/dropout/div_grad/Sum-1-LayoutOptimizer,"        1|1
"
137,gradients/MobilenetV1/MobilenetV1/Conv2d_9_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_9_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
138,PermConstNCHWToNHWC-LayoutOptimizer,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|PermConstNCHWToNHWC-LayoutOptimizer,"        1|1
"
139,MobilenetV1/Conv2d_6_pointwise/weights/read/_600,0.0,0.0,0.0,0.006,0.0,0.006,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/Conv2d_6_pointwise/weights/read/_600,"        1|1
"
140,ConcatV2,0.0,0.0,0.25,0.006,0.0,0.006,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConcatV2,"        1|3
"
141,gradients/MobilenetV1/MobilenetV1/Conv2d_6_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,0.0,0.0,0.25,0.004999999999999999,0.0,0.004999999999999999,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_6_pointwise/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer,"        1|1
"
142,ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_12_pointwise/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.004999999999999999,0.0,0.004999999999999999,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV1/MobilenetV1/Conv2d_12_pointwise/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
143,_retval_global_step_0_0,0.0,0.0,0.0,0.004999999999999999,0.0,0.004999999999999999,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|_retval_global_step_0_0,"        1|1
"
144,ConstantFolding/exponential_decay_learning_rate/truediv_recip,0.00390625,0.00390625,0.00390625,0.004999999999999999,0.0,0.004999999999999999,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|ConstantFolding/exponential_decay_learning_rate/truediv_recip,"        1|1
"
