,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
1,Conv2D,196014.08,50964.48,50964.48,50.7,45.17,5.53,0,4400.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Conv2D,"      15|15
"
2,DepthwiseConv2dNativeBackpropFilter,200.38,200.38,200.38,47.29,45.2,2.08,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|DepthwiseConv2dNativeBackpropFilter,"      13|13
"
3,Conv2DBackpropFilter,47656.96,12974.08,12974.08,35.99,30.67,5.31,0,4400.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Conv2DBackpropFilter,"      15|15
"
4,FusedBatchNorm,90777.6,90777.6,90777.6,32.83,21.92,10.91,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|FusedBatchNorm,"      27|27
"
5,Conv2DBackpropInput,143319.04,38615.04,38615.04,27.8,22.59,5.2,0,160100.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Conv2DBackpropInput,"      14|15
"
6,FusedBatchNormGrad,88934.4,88934.4,88934.4,25.67,18.9,6.76,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|FusedBatchNormGrad,"      27|27
"
7,DepthwiseConv2dNativeBackpropInput,53934.08,53934.08,53934.08,24.25,22.72,1.53,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|DepthwiseConv2dNativeBackpropInput,"      13|13
"
8,Mul,13066.24,13066.24,13199.36,22.34,1.86,20.44,0,6.54, |/job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|Mul,"     89|164
"
9,DepthwiseConv2dNative,32215.04,32215.04,32215.04,16.12,14.48,1.64,0,139.09, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|DepthwiseConv2dNative,"      13|13
"
10,Relu6Grad,0.0,0.0,93358.08,9.7,7.56,2.13,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Relu6Grad,"      27|27
"
12,Relu6,0.0,0.0,90593.28,7.83,5.68,2.14,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Relu6,"      27|27
"
13,gradients/MobilenetV1/MobilenetV1/Conv2d_0/Conv2D_grad/Conv2DBackpropFilter-0-TransposeNHWCToNCHW-LayoutOptimizer,2467.84,2467.84,2467.84,4.99,4.35,0.6359999999999999,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/MobilenetV1/Conv2d_0/Conv2D_grad/Conv2DBackpropFilter-0-TransposeNHWCToNCHW-LayoutOptimizer,"        1|1
"
14,Sub,0.25,0.25,90.5,4.99,0.13999999999999999,4.82,0,0.17248, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Sub,"     55|117
"
16,AddN,0.0,0.0,13056.0,2.32,1.13,1.18,0,3.15, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|AddN,"      15|17
"
