,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
7,ApplyGradientDescent,0.0,0.0,9164.8,14.59,0.0,14.59,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|ApplyGradientDescent,"    158|158
"
82,MobilenetV2/Conv_1/weights/read/_1615,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/Conv_1/weights/read/_1615,"        1|1
"
83,MobilenetV2/expanded_conv_1/project/weights/read/_913,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_1/project/weights/read/_913,"        1|1
"
84,MobilenetV2/expanded_conv_1/project/kernel/Regularizer/l2_regularizer/L2Loss/_745,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_1/project/kernel/Regularizer/l2_regularizer/L2Loss/_745,"        1|1
"
85,MobilenetV2/expanded_conv_1/expand/weights/read/_879,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_1/expand/weights/read/_879,"        1|1
"
86,MobilenetV2/expanded_conv_10/project/kernel/Regularizer/l2_regularizer/L2Loss/_669,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_10/project/kernel/Regularizer/l2_regularizer/L2Loss/_669,"        1|1
"
87,MobilenetV2/expanded_conv_10/project/weights/read/_1327,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_10/project/weights/read/_1327,"        1|1
"
88,MobilenetV2/expanded_conv_11/expand/weights/read/_1339,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_11/expand/weights/read/_1339,"        1|1
"
89,MobilenetV2/expanded_conv_11/project/kernel/Regularizer/l2_regularizer/L2Loss/_661,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_11/project/kernel/Regularizer/l2_regularizer/L2Loss/_661,"        1|1
"
90,MobilenetV2/expanded_conv_10/expand/kernel/Regularizer/l2_regularizer/L2Loss/_665,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_10/expand/kernel/Regularizer/l2_regularizer/L2Loss/_665,"        1|1
"
91,ConstantFolding/gradients/MobilenetV2/expanded_conv/project/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV2/expanded_conv/project/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
92,MobilenetV2/expanded_conv_13/expand/kernel/Regularizer/l2_regularizer/L2Loss/_673,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_13/expand/kernel/Regularizer/l2_regularizer/L2Loss/_673,"        1|1
"
93,MobilenetV2/expanded_conv_12/expand/kernel/Regularizer/l2_regularizer/L2Loss/_649,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_12/expand/kernel/Regularizer/l2_regularizer/L2Loss/_649,"        1|1
"
94,MobilenetV2/expanded_conv_12/expand/weights/read/_1389,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_12/expand/weights/read/_1389,"        1|1
"
95,ConstantFolding/gradients/MobilenetV2/expanded_conv_4/expand/Conv2D_grad/ShapeN-matshapes-1,0.0,0.0,0.25,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ConstantFolding/gradients/MobilenetV2/expanded_conv_4/expand/Conv2D_grad/ShapeN-matshapes-1,"        1|1
"
96,MobilenetV2/expanded_conv_14/project/weights/read/_1511,0.0,0.0,0.0,0.009,0.0,0.009,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV2/expanded_conv_14/project/weights/read/_1511,"        1|1
"
