('batch_size', 64)
('input_channels', 32)
('image_size', 256)
('output_channels', 24)
('kernel_size', 1)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       289767.436us          0.000us                1     289767.436us          0.000us
convolution                  289759.733us          0.000us                1     289759.733us          0.000us
_convolution                 289753.991us          0.000us                1     289753.991us          0.000us
tensor                            9.675us          0.000us                1          9.675us          0.000us
_convolution_nogroup         289716.385us          0.000us                1     289716.385us          0.000us
thnn_conv2d                  289708.516us          0.000us                1     289708.516us          0.000us
thnn_conv2d_forward          289699.871us          0.000us                1     289699.871us          0.000us
sum                            7958.298us          0.000us                1       7958.298us          0.000us
_sum                           7946.398us          0.000us                1       7946.398us          0.000us
