('batch_size', 96)
('input_channels', 24)
('image_size', 256)
('output_channels', 4)
('kernel_size', 1)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        99766.386us          0.000us                1      99766.386us          0.000us
convolution                   99743.541us          0.000us                1      99743.541us          0.000us
_convolution                  99720.583us          0.000us                1      99720.583us          0.000us
tensor                           10.813us          0.000us                1         10.813us          0.000us
_convolution_nogroup          99671.943us          0.000us                1      99671.943us          0.000us
thnn_conv2d                   99664.232us          0.000us                1      99664.232us          0.000us
thnn_conv2d_forward           99657.132us          0.000us                1      99657.132us          0.000us
sum                            1713.560us          0.000us                1       1713.560us          0.000us
_sum                           1706.242us          0.000us                1       1706.242us          0.000us
