('batch_size', 48)
('input_channels', 16)
('image_size', 256)
('output_channels', 20)
('kernel_size', 5)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                      1613246.154us          0.000us                1    1613246.154us          0.000us
convolution                 1613238.775us          0.000us                1    1613238.775us          0.000us
_convolution                1613232.241us          0.000us                1    1613232.241us          0.000us
tensor                           11.764us          0.000us                1         11.764us          0.000us
_convolution_nogroup        1613192.427us          0.000us                1    1613192.427us          0.000us
thnn_conv2d                 1613183.972us          0.000us                1    1613183.972us          0.000us
thnn_conv2d_forward         1613176.506us          0.000us                1    1613176.506us          0.000us
sum                            5648.399us          0.000us                1       5648.399us          0.000us
_sum                           5639.659us          0.000us                1       5639.659us          0.000us
