('batch_size', 64)
('input_channels', 12)
('image_size', 256)
('output_channels', 20)
('kernel_size', 5)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                      1760079.480us          0.000us                1    1760079.480us          0.000us
convolution                 1760076.215us          0.000us                1    1760076.215us          0.000us
_convolution                1760072.146us          0.000us                1    1760072.146us          0.000us
tensor                            3.675us          0.000us                1          3.675us          0.000us
_convolution_nogroup        1760053.192us          0.000us                1    1760053.192us          0.000us
thnn_conv2d                 1760047.126us          0.000us                1    1760047.126us          0.000us
thnn_conv2d_forward         1760041.068us          0.000us                1    1760041.068us          0.000us
sum                            9732.730us          0.000us                1       9732.730us          0.000us
_sum                           9727.247us          0.000us                1       9727.247us          0.000us
