('batch_size', 96)
('input_channels', 20)
('image_size', 256)
('output_channels', 24)
('kernel_size', 5)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                      4413901.138us          0.000us                1    4413901.138us          0.000us
convolution                 4413893.321us          0.000us                1    4413893.321us          0.000us
_convolution                4413886.882us          0.000us                1    4413886.882us          0.000us
tensor                           15.093us          0.000us                1         15.093us          0.000us
_convolution_nogroup        4413823.345us          0.000us                1    4413823.345us          0.000us
thnn_conv2d                 4413812.994us          0.000us                1    4413812.994us          0.000us
thnn_conv2d_forward         4413803.193us          0.000us                1    4413803.193us          0.000us
sum                           21062.579us          0.000us                1      21062.579us          0.000us
_sum                          21054.400us          0.000us                1      21054.400us          0.000us
