('batch_size', 16)
('input_channels', 16)
('image_size', 256)
('output_channels', 16)
('kernel_size', 5)
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
torch::autograd::GraphRoot                   3.017us          0.000us                1          3.017us          0.000us
SumBackward0                                31.930us          0.000us                1         31.930us          0.000us
expand                                      25.928us          0.000us                1         25.928us          0.000us
ThnnConv2DBackward                      166041.296us          0.000us                1     166041.296us          0.000us
thnn_conv2d_backward                    166019.918us          0.000us                1     166019.918us          0.000us
torch::autograd::AccumulateGrad            103.288us          0.000us                1        103.288us          0.000us
clone                                       95.482us          0.000us                1         95.482us          0.000us
torch::autograd::AccumulateGrad              6.402us          0.000us                1          6.402us          0.000us
clone                                        3.744us          0.000us                1          3.744us          0.000us
