('batch_size', 16)
('input_channels', 16)
('image_size', 256)
('output_channels', 32)
('kernel_size', 5)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       785379.232us          0.000us                1     785379.232us          0.000us
convolution                  785370.854us          0.000us                1     785370.854us          0.000us
_convolution                 785364.521us          0.000us                1     785364.521us          0.000us
tensor                           14.089us          0.000us                1         14.089us          0.000us
_convolution_nogroup         785322.982us          0.000us                1     785322.982us          0.000us
thnn_conv2d                  785315.052us          0.000us                1     785315.052us          0.000us
thnn_conv2d_forward          785307.609us          0.000us                1     785307.609us          0.000us
sum                            7176.866us          0.000us                1       7176.866us          0.000us
_sum                           7167.521us          0.000us                1       7167.521us          0.000us
