('batch_size', 96)
('input_channels', 20)
('image_size', 256)
('output_channels', 16)
('kernel_size', 3)
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
torch::autograd::GraphRoot                   3.112us          0.000us                1          3.112us          0.000us
SumBackward0                                30.802us          0.000us                1         30.802us          0.000us
expand                                      24.437us          0.000us                1         24.437us          0.000us
ThnnConv2DBackward                      482636.363us          0.000us                1     482636.363us          0.000us
thnn_conv2d_backward                    482614.511us          0.000us                1     482614.511us          0.000us
torch::autograd::AccumulateGrad             55.457us          0.000us                1         55.457us          0.000us
clone                                       48.152us          0.000us                1         48.152us          0.000us
torch::autograd::AccumulateGrad              4.546us          0.000us                1          4.546us          0.000us
clone                                        2.375us          0.000us                1          2.375us          0.000us
