('batch_size', 96)
('input_channels', 32)
('image_size', 256)
('output_channels', 24)
('kernel_size', 5)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                      7428401.241us          0.000us                1    7428401.241us          0.000us
convolution                 7428394.617us          0.000us                1    7428394.617us          0.000us
_convolution                7428389.449us          0.000us                1    7428389.449us          0.000us
tensor                           10.336us          0.000us                1         10.336us          0.000us
_convolution_nogroup        7428342.340us          0.000us                1    7428342.340us          0.000us
thnn_conv2d                 7428334.016us          0.000us                1    7428334.016us          0.000us
thnn_conv2d_forward         7428324.356us          0.000us                1    7428324.356us          0.000us
sum                           16568.879us          0.000us                1      16568.879us          0.000us
_sum                          16561.680us          0.000us                1      16561.680us          0.000us
