('batch_size', 48)
('input_channels', 16)
('image_size', 256)
('output_channels', 8)
('kernel_size', 3)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       433243.660us          0.000us                1     433243.660us          0.000us
convolution                  433240.168us          0.000us                1     433240.168us          0.000us
_convolution                 433236.026us          0.000us                1     433236.026us          0.000us
tensor                            3.015us          0.000us                1          3.015us          0.000us
_convolution_nogroup         433213.973us          0.000us                1     433213.973us          0.000us
thnn_conv2d                  433207.276us          0.000us                1     433207.276us          0.000us
thnn_conv2d_forward          433200.254us          0.000us                1     433200.254us          0.000us
sum                            1899.242us          0.000us                1       1899.242us          0.000us
_sum                           1891.543us          0.000us                1       1891.543us          0.000us
