('batch_size', 4)
('input_channels', 12)
('image_size', 256)
('output_channels', 32)
('kernel_size', 3)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        73765.028us          0.000us                1      73765.028us          0.000us
convolution                   73757.908us          0.000us                1      73757.908us          0.000us
_convolution                  73752.477us          0.000us                1      73752.477us          0.000us
tensor                           11.071us          0.000us                1         11.071us          0.000us
_convolution_nogroup          73715.841us          0.000us                1      73715.841us          0.000us
thnn_conv2d                   73707.954us          0.000us                1      73707.954us          0.000us
thnn_conv2d_forward           73700.057us          0.000us                1      73700.057us          0.000us
sum                            1135.906us          0.000us                1       1135.906us          0.000us
_sum                           1128.104us          0.000us                1       1128.104us          0.000us
